model_family,n,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,mouth_only_roc_auc_same_cohort,delta_auc_fusion_minus_mouth,delta_auc_ci95_low,delta_auc_ci95_high,delta_ci_excludes_zero
xception,196,0.6887755102040817,0.6905158936946326,0.6574074074074074,0.7473684210526316,0.6336633663366337,0.6995073891625616,0.7412193850964044,0.6922108365574641,0.7526836894215737,-0.011464304325169317,-0.04552696914886364,0.022634176787161116,False
efficientnet_b0,196,0.7346938775510204,0.7344450234497134,0.7263157894736842,0.7263157894736842,0.7425742574257426,0.7263157894736842,0.8195935383011985,0.8231649593715583,0.8333507034914017,-0.013757165190203202,-0.047100166597251227,0.020381606560255505,False
swinv2_tiny,196,0.7959183673469388,0.7938509640437728,0.8313253012048193,0.7263157894736842,0.8613861386138614,0.7752808988764045,0.8762897342365815,0.88033437036844,0.8802501302761855,-0.003960396039603964,-0.043356200348821095,0.03668825418565651,False
swinv2_texture,196,0.6887755102040817,0.6873892652423137,0.6931818181818182,0.6421052631578947,0.7326732673267327,0.6666666666666666,0.7671704012506514,0.7484430528462022,0.7896821261073476,-0.02251172485669617,-0.06997867853795692,0.0236393708513335,False
