status,source,drive_id,size_bytes,repo_target,drive_url
exists,Kas Kod Aciklamalari,16bRqHfJlrflfStgZS9LsvOD6FCRBePiU,207668,08_article/code_explanations/brow/vgg16_hog_gist_rbf_svm_kod_raporu.pdf,https://drive.google.com/file/d/16bRqHfJlrflfStgZS9LsvOD6FCRBePiU/view
exists,Kas Kod Aciklamalari,1GDS36L9yYTk1WpQEeScvSZqLHW2CH06o,831499,08_article/code_explanations/brow/kas_roi_cikarma_kod_ve_cikti_raporu.pdf,https://drive.google.com/file/d/1GDS36L9yYTk1WpQEeScvSZqLHW2CH06o/view
exists,Agiz Kodlar,1e_KfKib3SGlbhCD8XK-Fk-IR2HZXWDCP,571195,03_regional_models/notebooks/mouth/EfficientNet_B0_Mouth_Baseline_FINAL_STABLE.ipynb,https://drive.google.com/file/d/1e_KfKib3SGlbhCD8XK-Fk-IR2HZXWDCP/view
exists,Agiz Kodlar,1sWObE8qTuZUkpHT-PriVhU-ABnWcQCp-,398798,03_regional_models/notebooks/mouth/Mouth_SwinV2_Tiny_Baseline_Resume_Ready (1).ipynb,https://drive.google.com/file/d/1sWObE8qTuZUkpHT-PriVhU-ABnWcQCp-/view
exists,Agiz Kodlar,1HlyzxFK5j8fyWAyckQ8W2RUOGxGsOL-d,724308,03_regional_models/notebooks/mouth/VGG16_FeatureExtractor_SVM_Mouth_Deepfake_Colab_FIXED.ipynb,https://drive.google.com/file/d/1HlyzxFK5j8fyWAyckQ8W2RUOGxGsOL-d/view
exists,Agiz Kodlar,1vGKR7zfFo2i-yYNo9ggZ_7fgoaFfI9A5,561030,03_regional_models/notebooks/mouth/DenseNet121_Mouth_Deepfake_Colab_FIXED.ipynb,https://drive.google.com/file/d/1vGKR7zfFo2i-yYNo9ggZ_7fgoaFfI9A5/view
exists,Agiz Kodlar,1xzqW6HMsDRfzYUyJ2KhY57I7FErPPL1m,160733,03_regional_models/notebooks/mouth/HOG_LBP_SVM_Mouth_Deepfake_Colab_FIXED.ipynb,https://drive.google.com/file/d/1xzqW6HMsDRfzYUyJ2KhY57I7FErPPL1m/view
exists,Agiz Kodlar,1SKaj-Buo3z77SQ3lDhS-wnShpCNfkLM3,200860,03_regional_models/notebooks/mouth/SwinV2_Tiny_LBP_GLCM_Gabor_Wavelet_Mouth_Deepfake_Colab (2).ipynb,https://drive.google.com/file/d/1SKaj-Buo3z77SQ3lDhS-wnShpCNfkLM3/view
exists,Agiz Kodlar,18zTLwXA75kVMW2iqrrumOikcTAbG2SO9,527021,03_regional_models/notebooks/mouth/VGG16_HOG_GIST_RBF_SVM_Mouth_Deepfake_Colab_FIXED (2).ipynb,https://drive.google.com/file/d/18zTLwXA75kVMW2iqrrumOikcTAbG2SO9/view
exists,Agiz Kodlar,1GURMzGij142qY-BusjIvCYdfXEJlT845,1217976,03_regional_models/notebooks/mouth/HOG_LBP_KAZE_SVM_RF_Mouth_Deepfake_Colab.ipynb,https://drive.google.com/file/d/1GURMzGij142qY-BusjIvCYdfXEJlT845/view
