stage,epoch,lr,train_loss,val_loss,train_threshold,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_specificity,train_roc_auc,train_average_precision,train_tn,train_fp,train_fn,train_tp,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_specificity,val_roc_auc,val_average_precision,val_tn,val_fp,val_fn,val_tp,epoch_seconds
frozen,1,0.001,0.6831013695378615,0.6736945942336438,0.5,0.5505761843790012,0.5505413682747042,0.5479274611398963,0.5451030927835051,0.5465116279069767,0.5559796437659033,0.5798190301933317,0.5746767478497321,437,349,353,423,0.5,0.553921568627451,0.5545822102425876,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5377358490566038,0.6028109356950327,0.5885626711273588,57,49,42,56,9.045919418334961
frozen,2,0.001,0.6644635886602609,0.6703756743786382,0.5,0.5845070422535211,0.5843137640670497,0.5866302864938608,0.5541237113402062,0.5699138502319416,0.6145038167938931,0.6373094882085989,0.6391852187668979,483,303,346,430,0.5,0.5882352941176471,0.5902964959568733,0.5625,0.6428571428571429,0.6,0.5377358490566038,0.6196572968810165,0.5885442654147548,57,49,35,63,8.328529119491577
frozen,3,0.001,0.6499805927429249,0.6641834214621899,0.5,0.6152368758002561,0.6155285144670917,0.6028202115158637,0.6610824742268041,0.6306084818684696,0.5699745547073791,0.670573633955038,0.674075829461265,448,338,263,513,0.5,0.5882352941176471,0.5829803619561031,0.5945945945945946,0.4489795918367347,0.5116279069767442,0.7169811320754716,0.6280323450134773,0.5984138527445807,76,30,54,44,8.126933097839355
frozen,4,0.001,0.6442685318054219,0.6678666507496553,0.5,0.6286811779769527,0.6286331680700926,0.6276041666666666,0.6211340206185567,0.6243523316062176,0.6361323155216285,0.6774579628026546,0.6820475138282099,500,286,294,482,0.5,0.5588235294117647,0.5489025798998846,0.58,0.29591836734693877,0.3918918918918919,0.8018867924528302,0.6424720831728918,0.6095102538511277,85,21,69,29,9.23582124710083
frozen,5,0.001,0.6402163782589873,0.6702006611169553,0.5,0.6248399487836107,0.6243245192938276,0.6452599388379205,0.5438144329896907,0.5902097902097903,0.7048346055979644,0.684653799742924,0.6827999177413457,554,232,354,422,0.5,0.5980392156862745,0.6031959953792838,0.5625,0.7346938775510204,0.6371681415929203,0.4716981132075472,0.6441085868309588,0.6032614806442642,50,56,26,72,9.261006116867065
