model_family,method,n,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp,mouth_only_roc_auc_same_cohort,delta_auc_fusion_minus_mouth,bootstrap_iterations_valid,mouth_auc_ci95_low,mouth_auc_ci95_high,fusion_auc_ci95_low,fusion_auc_ci95_high,delta_auc_ci95_low,delta_auc_ci95_high,delta_ci_excludes_zero
xception,corrected_validation_weighted_soft_voting_common_formula,196,0.5,0.6887755102040817,0.6905158936946326,0.6574074074074074,0.7473684210526316,0.6336633663366337,0.6995073891625616,0.7412193850964044,0.6922108365574641,64,37,24,71,0.7526836894215737,-0.011464304325169317,5000,0.6821691632789656,0.8189865321530719,0.6680229498078766,0.8106411405673587,-0.04552696914886364,0.022634176787161116,False
efficientnet_b0,corrected_validation_weighted_soft_voting_common_formula,196,0.5,0.7346938775510204,0.7344450234497134,0.7263157894736842,0.7263157894736842,0.7425742574257426,0.7263157894736842,0.8195935383011985,0.8231649593715583,75,26,26,69,0.8333507034914017,-0.013757165190203202,5000,0.7753507426335435,0.8862110643560669,0.7573958333333334,0.8756684034786634,-0.047100166597251227,0.020381606560255505,False
swinv2_tiny,corrected_validation_weighted_soft_voting_common_formula,196,0.5,0.7959183673469388,0.7938509640437728,0.8313253012048193,0.7263157894736842,0.8613861386138614,0.7752808988764045,0.8762897342365815,0.88033437036844,87,14,26,69,0.8802501302761855,-0.003960396039603964,5000,0.8304021667545647,0.9262625376583167,0.8246320154641895,0.9227166557777935,-0.043356200348821095,0.03668825418565651,False
swinv2_texture,corrected_validation_weighted_soft_voting_common_formula,196,0.5,0.6887755102040817,0.6873892652423137,0.6931818181818182,0.6421052631578947,0.7326732673267327,0.6666666666666666,0.7671704012506514,0.7484430528462022,74,27,34,61,0.7896821261073476,-0.02251172485669617,5000,0.7215150745320545,0.8504710878778268,0.6991125783766656,0.8291645676819839,-0.06997867853795692,0.0236393708513335,False
